generator,sample,mean,stddev,cv,chi2,uniform
LCG_BaysDurham,1,5147.3,2941.8,0.5715,27.280,1
LCG_BaysDurham,2,4973.8,2910.5,0.5852,23.760,1
LCG_BaysDurham,3,4952.8,2920.4,0.5896,21.480,1
LCG_BaysDurham,4,4910.8,2879.4,0.5863,13.680,1
LCG_BaysDurham,5,4890.4,2857.1,0.5842,14.520,1
LCG_BaysDurham,6,5166.5,2904.7,0.5622,15.560,1
LCG_BaysDurham,7,5071.5,2901.7,0.5722,18.680,1
LCG_BaysDurham,8,4992.9,2809.7,0.5627,13.120,1
LCG_BaysDurham,9,5085.3,2960.7,0.5822,22.720,1
LCG_BaysDurham,10,5126.0,2916.3,0.5689,9.200,1
LCG_BaysDurham,11,5036.3,2877.3,0.5713,13.480,1
LCG_BaysDurham,12,4971.7,2908.4,0.5850,15.480,1
LCG_BaysDurham,13,5076.3,2815.6,0.5547,22.600,1
LCG_BaysDurham,14,4894.7,2830.3,0.5782,25.920,1
LCG_BaysDurham,15,5006.4,2862.6,0.5718,19.160,1
LCG_BaysDurham,16,4880.4,2835.9,0.5811,18.240,1
LCG_BaysDurham,17,4889.0,2817.3,0.5763,22.960,1
LCG_BaysDurham,18,5045.5,2903.5,0.5755,38.280,0
LCG_BaysDurham,19,5075.5,2822.7,0.5561,24.040,1
LCG_BaysDurham,20,4919.6,2936.9,0.5970,17.920,1
Xorshift128_MLT,1,5115.6,2864.7,0.5600,13.480,1
Xorshift128_MLT,2,4949.9,2842.6,0.5743,21.480,1
Xorshift128_MLT,3,5054.3,2889.5,0.5717,16.200,1
Xorshift128_MLT,4,5067.0,2949.6,0.5821,16.000,1
Xorshift128_MLT,5,5003.2,2929.2,0.5855,17.160,1
Xorshift128_MLT,6,5094.4,2873.4,0.5640,25.640,1
Xorshift128_MLT,7,4782.3,2838.6,0.5936,18.560,1
Xorshift128_MLT,8,5081.1,2874.5,0.5657,18.120,1
Xorshift128_MLT,9,5110.2,2808.6,0.5496,13.160,1
Xorshift128_MLT,10,5119.8,2918.9,0.5701,21.560,1
Xorshift128_MLT,11,5021.6,2920.3,0.5816,16.640,1
Xorshift128_MLT,12,5032.1,2913.6,0.5790,23.760,1
Xorshift128_MLT,13,4946.0,2875.0,0.5813,27.080,1
Xorshift128_MLT,14,5009.4,2876.5,0.5742,14.480,1
Xorshift128_MLT,15,5085.7,2820.4,0.5546,14.560,1
Xorshift128_MLT,16,4900.2,2879.6,0.5877,27.680,1
Xorshift128_MLT,17,5000.1,2873.3,0.5746,23.200,1
Xorshift128_MLT,18,4900.0,2906.7,0.5932,8.960,1
Xorshift128_MLT,19,4869.8,2883.1,0.5920,23.280,1
Xorshift128_MLT,20,4928.2,2875.4,0.5835,31.120,0
AdditiveLFG_RotateXor,1,4997.9,2866.6,0.5736,14.480,1
AdditiveLFG_RotateXor,2,4972.8,2831.3,0.5694,18.920,1
AdditiveLFG_RotateXor,3,5028.4,2901.9,0.5771,16.680,1
AdditiveLFG_RotateXor,4,4889.5,2920.3,0.5973,12.160,1
AdditiveLFG_RotateXor,5,5035.6,2841.3,0.5642,16.920,1
AdditiveLFG_RotateXor,6,4963.4,2941.4,0.5926,17.760,1
AdditiveLFG_RotateXor,7,5060.5,2880.9,0.5693,9.720,1
AdditiveLFG_RotateXor,8,5012.6,2889.0,0.5763,9.520,1
AdditiveLFG_RotateXor,9,5008.4,2853.9,0.5698,19.920,1
AdditiveLFG_RotateXor,10,4891.7,2863.8,0.5854,17.880,1
AdditiveLFG_RotateXor,11,4972.0,2842.4,0.5717,17.600,1
AdditiveLFG_RotateXor,12,5041.0,2900.4,0.5754,15.800,1
AdditiveLFG_RotateXor,13,4849.3,2925.3,0.6032,29.520,1
AdditiveLFG_RotateXor,14,5057.3,2876.5,0.5688,20.840,1
AdditiveLFG_RotateXor,15,5075.0,2903.3,0.5721,15.800,1
AdditiveLFG_RotateXor,16,5091.5,2921.8,0.5739,14.040,1
AdditiveLFG_RotateXor,17,4962.6,2881.1,0.5806,17.240,1
AdditiveLFG_RotateXor,18,5007.9,2880.5,0.5752,11.720,1
AdditiveLFG_RotateXor,19,5135.9,2941.5,0.5727,29.680,1
AdditiveLFG_RotateXor,20,4976.1,2913.5,0.5855,12.360,1
